frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
260,2.169615,8.886147e-01,1.883443e+02,5.076207e-05,3.137077e+00,3.415772e-01,-2.148832e+00
261,2.177959,8.936853e-01,1.921750e+02,4.174735e-05,2.750842e+00,3.463031e-01,-2.120887e+00
262,2.186304,8.984833e-01,1.961755e+02,4.100622e-05,2.727498e+00,3.433409e-01,-2.138218e+00
263,2.194649,9.065863e-01,2.000027e+02,2.531286e-05,2.480645e+00,3.402067e-01,-2.156518e+00
264,2.202993,9.150049e-01,2.030327e+02,3.525856e-05,2.890452e+00,3.325056e-01,-2.202678e+00
265,2.211338,9.221723e-01,2.052256e+02,3.699818e-05,2.943144e+00,3.261379e-01,-2.241533e+00
266,2.219683,9.252284e-01,2.068226e+02,6.165598e-05,3.292580e+00,3.195288e-01,-2.281852e+00
267,2.228027,9.212914e-01,2.077891e+02,5.655653e-05,3.141617e+00,3.158586e-01,-2.305029e+00
268,2.236372,9.123121e-01,2.077891e+02,4.695545e-05,2.466247e+00,3.103071e-01,-2.340856e+00
269,2.244717,9.041331e-01,2.068226e+02,1.971825e-05,2.060537e+00,3.021837e-01,-2.394005e+00
270,2.253061,8.966599e-01,2.055379e+02,3.207203e-05,2.361288e+00,2.902788e-01,-2.475261e+00
271,2.261406,8.787286e-01,2.039585e+02,4.578331e-05,3.139015e+00,2.731110e-01,-2.600075e+00
272,2.269751,8.359326e-01,2.021012e+02,3.766825e-05,2.880712e+00,2.485695e-01,-2.792499e+00
273,2.278095,8.067451e-01,1.999653e+02,5.911752e-05,3.165087e+00,2.228686e-01,-3.011348e+00
274,2.286440,8.162412e-01,1.978621e+02,5.076728e-05,2.917826e+00,1.970187e-01,-3.258743e+00
275,2.294785,8.593903e-01,1.961031e+02,4.702802e-05,2.640702e+00,1.726462e-01,-3.528022e+00
276,2.303129,8.983219e-01,1.940994e+02,6.487245e-06,1.391870e+00,1.580824e-01,-3.693823e+00
277,2.311474,9.068840e-01,1.913270e+02,3.688790e-06,1.242727e+00,1.531643e-01,-3.753397e+00
278,2.319819,8.952791e-01,1.883314e+02,6.379236e-06,1.466277e+00,1.610361e-01,-3.654026e+00
279,2.328163,8.775694e-01,1.859197e+02,6.792805e-06,1.670231e+00,1.679243e-01,-3.570457e+00
280,2.336508,8.800105e-01,1.846057e+02,1.006010e-05,1.838635e+00,1.788102e-01,-3.445087e+00
281,2.344853,8.981970e-01,1.843483e+02,6.543536e-06,1.420414e+00,1.872622e-01,-3.352673e+00
282,2.353197,9.172974e-01,1.846058e+02,6.820385e-06,1.477423e+00,1.966190e-01,-3.253705e+00
283,2.361542,9.233872e-01,1.851207e+02,6.339581e-06,1.457654e+00,2.002158e-01,-3.216974e+00
284,2.369887,9.231961e-01,1.853782e+02,1.177238e-05,1.967757e+00,2.018876e-01,-3.200120e+00
285,2.378231,9.220505e-01,1.853782e+02,1.169423e-05,1.953506e+00,2.017311e-01,-3.201660e+00
286,2.386576,9.206559e-01,1.856400e+02,8.597226e-06,1.782253e+00,1.993454e-01,-3.225796e+00
287,2.394921,9.203045e-01,1.861637e+02,4.928168e-06,1.569359e+00,1.980851e-01,-3.238462e+00
288,2.403265,9.204379e-01,1.866873e+02,5.289384e-06,1.627585e+00,1.931314e-01,-3.289145e+00
289,2.411610,9.215128e-01,1.869492e+02,1.749957e-05,2.062907e+00,1.919006e-01,-3.301947e+00
290,2.419955,9.223430e-01,1.869492e+02,1.563812e-05,1.698983e+00,1.867539e-01,-3.356324e+00
291,2.428299,9.238080e-01,1.872155e+02,1.705985e-05,1.839717e+00,1.831655e-01,-3.395605e+00
292,2.436644,9.245503e-01,1.877481e+02,4.746992e-06,1.396460e+00,1.769567e-01,-3.464223e+00
293,2.444989,9.228480e-01,1.882807e+02,9.395321e-06,1.934279e+00,1.690841e-01,-3.557061e+00
294,2.453333,9.176748e-01,1.885470e+02,7.564820e-06,1.726041e+00,1.597104e-01,-3.672139e+00
295,2.461678,9.136896e-01,1.885470e+02,5.915374e-06,1.534196e+00,1.467543e-01,-3.843121e+00
296,2.470023,9.129952e-01,1.885470e+02,6.620106e-06,1.565716e+00,1.356593e-01,-4.000759e+00
297,2.478367,9.177074e-01,1.888179e+02,6.075792e-06,1.356514e+00,1.214899e-01,-4.224224e+00
298,2.486712,9.227827e-01,1.896353e+02,9.730021e-06,1.672492e+00,1.101687e-01,-4.420894e+00
299,2.495057,9.276238e-01,1.907283e+02,4.428446e-06,1.143638e+00,9.921279e-02,-4.624708e+00
300,2.503401,9.285986e-01,1.915505e+02,5.148602e-06,1.384949e+00,9.092206e-02,-4.801556e+00
301,2.511746,9.269555e-01,1.915505e+02,8.914892e-07,7.874698e-01,8.252287e-02,-4.997419e+00
302,2.520091,9.225550e-01,1.909993e+02,1.434255e-06,9.552723e-01,7.227986e-02,-5.268730e+00
303,2.528435,9.168544e-01,1.907236e+02,3.028504e-06,1.126842e+00,6.239010e-02,-5.568736e+00
304,2.536780,9.081647e-01,1.907236e+02,3.052108e-06,1.176553e+00,5.104858e-02,-5.980937e+00
305,2.545125,8.928945e-01,1.909993e+02,2.419219e-06,9.158280e-01,3.980227e-02,-6.515426e+00
306,2.553469,8.698196e-01,1.912749e+02,5.760735e-08,3.793185e-01,2.848756e-02,-7.215712e+00
307,2.561814,8.249001e-01,1.912749e+02,1.360094e-07,4.515828e-01,1.801570e-02,-8.256635e+00
308,2.570159,8.029605e-01,1.909993e+02,1.356035e-07,4.507608e-01,1.003710e-02,-9.628109e+00
309,2.578503,8.077038e-01,1.921769e+02,1.346036e-07,4.286959e-01,4.590068e-03,-1.112991e+01
310,2.586848,8.452154e-01,2.027865e+02,2.245580e-08,2.368143e-01,2.404722e-03,-1.215711e+01
311,2.595193,8.512318e-01,2.150966e+02,1.155801e-09,1.302357e-01,1.756839e-03,-1.269561e+01
312,2.603537,7.574907e-01,2.227297e+02,1.554436e-09,1.416956e-01,1.414099e-03,-1.320707e+01
313,2.611882,5.930906e-01,2.224031e+02,1.111229e-09,1.230018e-01,9.899329e-04,-1.403696e+01
314,2.620227,4.277310e-01,1.467023e+02,8.357486e-10,9.767213e-02,6.075070e-04,-1.491883e+01
315,2.628571,3.493975e-01,7.394953e+01,1.845444e-10,7.040117e-02,4.349930e-04,-1.549827e+01
316,2.636916,3.481082e-01,0,7.587096e-11,4.993280e-02,3.701553e-04,-1.581474e+01
317,2.645261,4.430283e-01,0,7.724784e-11,5.050425e-02,3.332876e-04,-1.602044e+01
318,2.653605,5.541989e-01,7.563718e+01,1.815358e-11,3.620288e-02,2.931268e-04,-1.627991e+01
319,2.661950,6.623641e-01,1.544296e+02,1.731895e-11,3.511054e-02,2.677501e-04,-1.646093e+01
320,2.670295,6.820343e-01,2.402726e+02,8.471671e-12,2.971218e-02,2.584636e-04,-1.652457e+01
321,2.678639,6.573590e-01,2.577096e+02,8.137856e-12,2.942738e-02,2.873180e-04,-1.632854e+01
322,2.686984,6.759494e-01,2.927770e+02,1.414753e-11,3.435934e-02,3.465788e-04,-1.596370e+01
323,2.695329,7.102296e-01,3.359795e+02,1.197748e-11,3.056459e-02,4.907953e-04,-1.533819e+01
324,2.703673,7.765634e-01,3.707991e+02,8.263299e-12,1.967594e-02,6.755618e-04,-1.469319e+01
325,2.712018,8.185024e-01,3.859452e+02,3.088290e-12,1.583637e-02,8.872729e-04,-1.408081e+01
326,2.720363,8.716455e-01,3.847933e+02,4.215139e-12,1.828818e-02,1.050250e-03,-1.373183e+01
327,2.728707,9.220458e-01,3.836812e+02,3.947995e-11,3.967852e-02,1.165026e-03,-1.351464e+01
328,2.737052,6.414562e-01,3.825691e+02,1.335046e-10,5.889441e-02,1.430896e-03,-1.313980e+01
329,2.745397,4.251696e-01,2.546754e+02,2.370445e-10,8.001977e-02,1.705462e-03,-1.279134e+01
330,2.753741,1.806995e-01,1.278937e+02,2.546980e-10,8.278943e-02,2.014707e-03,-1.241859e+01
331,2.762086,4.303394e-01,0,5.848501e-10,9.904315e-02,2.825924e-03,-1.185977e+01
332,2.770431,5.407683e-01,1.361728e+02,6.413149e-10,1.031276e-01,9.221691e-03,-1.029329e+01
333,2.778776,5.784175e-01,2.520082e+02,6.405632e-10,1.030242e-01,3.498243e-02,-7.891854e+00
334,2.787120,4.114574e-01,2.520082e+02,2.093176e-09,1.283369e-01,6.070335e-02,-5.929101e+00
335,2.795465,3.309411e-01,1.158354e+02,1.966267e-09,1.158599e-01,8.090083e-02,-5.029228e+00
336,2.803810,4.039315e-01,0,2.511393e-09,1.417920e-01,8.205333e-02,-5.000829e+00
337,2.812154,5.058109e-01,0,7.212529e-08,2.813240e-01,9.520587e-02,-4.737473e+00
338,2.820499,4.961573e-01,0,3.621059e-07,5.797241e-01,1.231054e-01,-4.267696e+00
339,2.828844,4.532759e-01,0,6.061592e-07,8.335294e-01,1.599756e-01,-3.702592e+00
340,2.837188,3.819685e-01,0,5.860740e-07,8.137429e-01,1.918337e-01,-3.314273e+00
341,2.845533,4.077498e-01,0,3.568153e-07,6.940729e-01,2.188889e-01,-3.048234e+00
342,2.853878,4.487095e-01,0,6.852034e-07,7.824454e-01,2.418916e-01,-2.844913e+00
343,2.862222,5.887057e-01,0,6.551522e-07,7.383717e-01,2.601787e-01,-2.694329e+00
344,2.870567,7.428887e-01,1.226617e+02,4.981658e-06,1.260569e+00,2.635981e-01,-2.667164e+00
345,2.878912,8.549666e-01,2.421083e+02,4.824058e-06,1.224499e+00,2.514910e-01,-2.766438e+00
346,2.887256,8.477592e-01,3.554463e+02,1.034979e-05,1.853202e+00,2.296389e-01,-2.950800e+00
347,2.895601,7.620256e-01,3.406017e+02,9.266017e-06,1.794272e+00,2.016779e-01,-3.214298e+00
348,2.903946,6.931739e-01,3.239805e+02,8.988491e-06,1.693974e+00,1.799632e-01,-3.440741e+00
349,2.912290,7.176132e-01,2.898232e+02,5.964071e-06,1.530842e+00,1.564233e-01,-3.720958e+00
350,2.920635,8.077366e-01,2.399063e+02,2.662789e-06,9.415519e-01,1.511560e-01,-3.784797e+00
351,2.928980,8.729154e-01,1.952109e+02,4.203374e-06,1.227121e+00,1.601952e-01,-3.681058e+00
352,2.937324,8.267072e-01,1.743901e+02,1.763849e-06,8.351386e-01,1.924436e-01,-3.321162e+00
353,2.945669,7.290018e-01,1.748496e+02,5.057902e-06,1.423993e+00,2.248930e-01,-2.999914e+00
354,2.954014,6.818647e-01,1.750794e+02,5.163289e-06,1.433974e+00,2.529720e-01,-2.753286e+00
355,2.962358,7.316452e-01,1.750794e+02,5.615448e-06,1.598440e+00,2.691705e-01,-2.626459e+00
356,2.970703,8.285127e-01,1.750794e+02,3.726790e-06,1.449102e+00,2.796044e-01,-2.549153e+00
357,2.979048,8.880749e-01,1.748496e+02,2.297553e-06,1.237345e+00,2.854546e-01,-2.507529e+00
358,2.987392,9.023286e-01,1.743901e+02,8.857062e-06,1.687364e+00,2.872129e-01,-2.495109e+00
359,2.995737,9.058866e-01,1.739306e+02,8.674935e-06,1.666456e+00,2.875978e-01,-2.492421e+00
360,3.004082,9.041200e-01,1.739305e+02,9.001499e-06,1.739914e+00,2.877720e-01,-2.491221e+00
361,3.012426,9.008698e-01,1.746235e+02,2.596231e-06,1.320217e+00,2.926122e-01,-2.458181e+00
362,3.020771,8.995790e-01,1.755499e+02,1.412565e-05,1.822363e+00,2.970380e-01,-2.428035e+00
363,3.029116,8.981347e-01,1.767248e+02,1.774017e-05,2.126988e+00,2.994764e-01,-2.411455e+00
364,3.037460,8.914986e-01,1.786621e+02,3.890307e-05,2.881569e+00,2.967802e-01,-2.429658e+00
365,3.045805,8.797271e-01,1.813707e+02,3.199468e-05,2.674007e+00,2.962155e-01,-2.433429e+00
366,3.054150,8.503664e-01,1.849331e+02,4.083191e-05,2.959849e+00,2.992983e-01,-2.413040e+00
367,3.062494,8.278182e-01,1.892010e+02,2.523345e-05,2.593984e+00,3.114934e-01,-2.334400e+00
368,3.070839,8.300832e-01,1.942240e+02,2.310304e-05,2.493920e+00,3.270341e-01,-2.237687e+00
369,3.079184,8.580000e-01,1.991308e+02,9.993574e-06,1.640810e+00,3.449221e-01,-2.130304e+00
370,3.087528,8.783066e-01,2.033914e+02,3.752559e-06,9.634193e-01,3.577366e-01,-2.056587e+00
371,3.095873,8.793838e-01,2.072016e+02,3.491839e-05,1.621512e+00,3.662218e-01,-2.009160e+00
372,3.104218,8.842499e-01,2.108259e+02,3.524029e-05,1.808012e+00,3.692780e-01,-1.992427e+00
373,3.112562,9.006012e-01,2.145792e+02,4.641341e-05,2.638484e+00,3.635178e-01,-2.024559e+00
374,3.120907,9.179485e-01,2.181154e+02,2.703530e-05,2.348002e+00,3.459192e-01,-2.126986e+00
375,3.129252,9.205489e-01,2.209932e+02,2.963420e-05,2.651877e+00,3.170459e-01,-2.304859e+00
